student_id,date,class_id,attendance_status,day_of_week,is_weekend,month,week,is_present
STU1035,2024-03-01,CS108,Present,4,0,3,9,1
STU0055,2024-03-01,CS108,Absent,4,0,3,9,0
STU1150,2024-03-01,CS108,Present,4,0,3,9,1
STU0408,2024-03-01,CS108,Present,4,0,3,9,1
STU1117,2024-03-01,CS108,Present,4,0,3,9,1
STU0860,2024-03-01,CS108,Present,4,0,3,9,1
STU0452,2024-03-01,CS108,Present,4,0,3,9,1
STU0920,2024-03-01,CS108,Absent,4,0,3,9,0
STU0570,2024-03-01,CS108,Present,4,0,3,9,1
STU0014,2024-03-01,CS108,Present,4,0,3,9,1
STU0327,2024-03-01,CS108,Present,4,0,3,9,1
STU0866,2024-03-01,CS108,Absent,4,0,3,9,0
STU0697,2024-03-01,CS108,Absent,4,0,3,9,0
STU0319,2024-03-01,CS108,Absent,4,0,3,9,0
STU0441,2024-03-01,CS108,Present,4,0,3,9,1
STU0690,2024-03-01,CS108,Present,4,0,3,9,1
STU0210,2024-03-01,CS108,Present,4,0,3,9,1
STU0190,2024-03-01,CS108,Present,4,0,3,9,1
STU0779,2024-03-01,CS108,Present,4,0,3,9,1
STU0199,2024-03-01,CS108,Present,4,0,3,9,1
STU0736,2024-03-01,CS108,Present,4,0,3,9,1
STU0705,2024-03-01,CS108,Present,4,0,3,9,1
STU0542,2024-03-01,CS108,Present,4,0,3,9,1
STU0089,2024-03-01,CS108,Present,4,0,3,9,1
STU0941,2024-03-01,CS108,Present,4,0,3,9,1
STU1099,2024-03-01,CS108,Present,4,0,3,9,1
STU0256,2024-03-01,CS108,Present,4,0,3,9,1
STU0776,2024-03-01,CS108,Present,4,0,3,9,1
STU0162,2024-03-01,CS108,Present,4,0,3,9,1
STU1131,2024-03-01,CS108,Present,4,0,3,9,1
STU0601,2024-03-01,CS108,Present,4,0,3,9,1
STU0741,2024-03-01,CS108,Present,4,0,3,9,1
STU0394,2024-03-01,CS102,Present,4,0,3,9,1
STU0143,2024-03-01,CS102,Absent,4,0,3,9,0
STU0094,2024-03-01,CS102,Absent,4,0,3,9,0
STU0467,2024-03-01,CS102,Present,4,0,3,9,1
STU0593,2024-03-01,CS102,Present,4,0,3,9,1
STU0164,2024-03-01,CS102,Present,4,0,3,9,1
STU0477,2024-03-01,CS102,Present,4,0,3,9,1
STU0207,2024-03-01,CS102,Present,4,0,3,9,1
STU0779,2024-03-01,CS102,Present,4,0,3,9,1
STU0570,2024-03-01,CS102,Present,4,0,3,9,1
STU0929,2024-03-01,CS102,Present,4,0,3,9,1
STU0748,2024-03-01,CS102,Absent,4,0,3,9,0
STU0334,2024-03-01,CS102,Present,4,0,3,9,1
STU0759,2024-03-01,CS102,Present,4,0,3,9,1
STU0728,2024-03-01,CS102,Present,4,0,3,9,1
STU0430,2024-03-01,CS102,Present,4,0,3,9,1
STU0547,2024-03-01,CS102,Present,4,0,3,9,1
STU0147,2024-03-01,CS102,Present,4,0,3,9,1
STU0351,2024-03-01,CS102,Absent,4,0,3,9,0
STU1094,2024-03-01,CS102,Present,4,0,3,9,1
STU0502,2024-03-01,CS102,Absent,4,0,3,9,0
STU0335,2024-03-01,CS102,Absent,4,0,3,9,0
STU0947,2024-03-01,CS102,Present,4,0,3,9,1
STU0778,2024-03-01,CS102,Absent,4,0,3,9,0
STU0553,2024-03-01,CS102,Present,4,0,3,9,1
STU1141,2024-03-01,CS102,Present,4,0,3,9,1
STU0450,2024-03-01,CS102,Present,4,0,3,9,1
STU0665,2024-03-01,CS102,Present,4,0,3,9,1
STU0115,2024-03-01,CS102,Absent,4,0,3,9,0
STU0470,2024-03-01,CS102,Present,4,0,3,9,1
STU0066,2024-03-01,CS102,Absent,4,0,3,9,0
STU0647,2024-03-01,CS102,Present,4,0,3,9,1
STU0822,2024-03-01,CS102,Present,4,0,3,9,1
STU0549,2024-03-01,CS102,Present,4,0,3,9,1
STU0136,2024-03-01,CS102,Present,4,0,3,9,1
STU0433,2024-03-01,CS102,Present,4,0,3,9,1
