timestamp,building,units_consumed,date,hour,day_of_week,is_weekend,week,is_anomaly
2024-03-01 00:00:00,Academic Block A,0.911,2024-03-01,0,4,0,9,0
2024-03-01 01:00:00,Academic Block A,0.5,2024-03-01,1,4,0,9,0
2024-03-01 02:00:00,Academic Block A,0.512,2024-03-01,2,4,0,9,0
2024-03-01 03:00:00,Academic Block A,0.5,2024-03-01,3,4,0,9,0
2024-03-01 04:00:00,Academic Block A,1.106,2024-03-01,4,4,0,9,0
2024-03-01 05:00:00,Academic Block A,2.118,2024-03-01,5,4,0,9,0
2024-03-01 06:00:00,Academic Block A,6.92,2024-03-01,6,4,0,9,0
2024-03-01 07:00:00,Academic Block A,12.19,2024-03-01,7,4,0,9,0
2024-03-01 08:00:00,Academic Block A,25.937,2024-03-01,8,4,0,9,0
2024-03-01 09:00:00,Academic Block A,41.684,2024-03-01,9,4,0,9,0
2024-03-01 10:00:00,Academic Block A,47.623,2024-03-01,10,4,0,9,0
2024-03-01 11:00:00,Academic Block A,38.639,2024-03-01,11,4,0,9,0
2024-03-01 12:00:00,Academic Block A,29.225,2024-03-01,12,4,0,9,0
2024-03-01 13:00:00,Academic Block A,42.229,2024-03-01,13,4,0,9,0
2024-03-01 14:00:00,Academic Block A,37.238,2024-03-01,14,4,0,9,0
2024-03-01 15:00:00,Academic Block A,34.926,2024-03-01,15,4,0,9,0
2024-03-01 16:00:00,Academic Block A,22.999,2024-03-01,16,4,0,9,0
2024-03-01 17:00:00,Academic Block A,24.15,2024-03-01,17,4,0,9,0
2024-03-01 18:00:00,Academic Block A,25.731,2024-03-01,18,4,0,9,0
2024-03-01 19:00:00,Academic Block A,41.195,2024-03-01,19,4,0,9,0
2024-03-01 20:00:00,Academic Block A,29.219,2024-03-01,20,4,0,9,0
2024-03-01 21:00:00,Academic Block A,26.034,2024-03-01,21,4,0,9,0
2024-03-01 22:00:00,Academic Block A,8.5,2024-03-01,22,4,0,9,0
2024-03-01 23:00:00,Academic Block A,3.294,2024-03-01,23,4,0,9,0
2024-03-02 00:00:00,Academic Block A,2.52,2024-03-02,0,5,1,9,0
2024-03-02 01:00:00,Academic Block A,2.164,2024-03-02,1,5,1,9,0
2024-03-02 02:00:00,Academic Block A,1.634,2024-03-02,2,5,1,9,0
2024-03-02 03:00:00,Academic Block A,2.772,2024-03-02,3,5,1,9,0
2024-03-02 04:00:00,Academic Block A,2.505,2024-03-02,4,5,1,9,0
2024-03-02 05:00:00,Academic Block A,2.062,2024-03-02,5,5,1,9,0
2024-03-02 06:00:00,Academic Block A,2.225,2024-03-02,6,5,1,9,0
2024-03-02 07:00:00,Academic Block A,4.593,2024-03-02,7,5,1,9,0
2024-03-02 08:00:00,Academic Block A,10.529,2024-03-02,8,5,1,9,0
2024-03-02 09:00:00,Academic Block A,11.614,2024-03-02,9,5,1,9,0
2024-03-02 10:00:00,Academic Block A,17.763,2024-03-02,10,5,1,9,0
2024-03-02 11:00:00,Academic Block A,19.326,2024-03-02,11,5,1,9,0
2024-03-02 12:00:00,Academic Block A,27.552,2024-03-02,12,5,1,9,0
2024-03-02 13:00:00,Academic Block A,27.9,2024-03-02,13,5,1,9,0
2024-03-02 14:00:00,Academic Block A,24.434,2024-03-02,14,5,1,9,0
2024-03-02 15:00:00,Academic Block A,19.746,2024-03-02,15,5,1,9,0
2024-03-02 16:00:00,Academic Block A,15.319,2024-03-02,16,5,1,9,0
2024-03-02 17:00:00,Academic Block A,19.117,2024-03-02,17,5,1,9,0
2024-03-02 18:00:00,Academic Block A,22.298,2024-03-02,18,5,1,9,0
2024-03-02 19:00:00,Academic Block A,16.053,2024-03-02,19,5,1,9,0
2024-03-02 20:00:00,Academic Block A,12.174,2024-03-02,20,5,1,9,0
2024-03-02 21:00:00,Academic Block A,6.612,2024-03-02,21,5,1,9,0
2024-03-02 22:00:00,Academic Block A,3.317,2024-03-02,22,5,1,9,0
2024-03-02 23:00:00,Academic Block A,2.026,2024-03-02,23,5,1,9,0
2024-03-03 00:00:00,Academic Block A,2.119,2024-03-03,0,6,1,9,0
2024-03-03 01:00:00,Academic Block A,2.071,2024-03-03,1,6,1,9,0
2024-03-03 02:00:00,Academic Block A,2.842,2024-03-03,2,6,1,9,0
2024-03-03 03:00:00,Academic Block A,1.895,2024-03-03,3,6,1,9,0
2024-03-03 04:00:00,Academic Block A,1.986,2024-03-03,4,6,1,9,0
2024-03-03 05:00:00,Academic Block A,2.036,2024-03-03,5,6,1,9,0
2024-03-03 06:00:00,Academic Block A,2.662,2024-03-03,6,6,1,9,0
2024-03-03 07:00:00,Academic Block A,5.834,2024-03-03,7,6,1,9,0
2024-03-03 08:00:00,Academic Block A,9.974,2024-03-03,8,6,1,9,0
2024-03-03 09:00:00,Academic Block A,14.344,2024-03-03,9,6,1,9,0
2024-03-03 10:00:00,Academic Block A,19.233,2024-03-03,10,6,1,9,0
2024-03-03 11:00:00,Academic Block A,25.942,2024-03-03,11,6,1,9,0
2024-03-03 12:00:00,Academic Block A,25.521,2024-03-03,12,6,1,9,0
2024-03-03 13:00:00,Academic Block A,27.802,2024-03-03,13,6,1,9,0
2024-03-03 14:00:00,Academic Block A,21.679,2024-03-03,14,6,1,9,0
2024-03-03 15:00:00,Academic Block A,18.121,2024-03-03,15,6,1,9,0
2024-03-03 16:00:00,Academic Block A,13.221,2024-03-03,16,6,1,9,0
2024-03-03 17:00:00,Academic Block A,17.395,2024-03-03,17,6,1,9,0
2024-03-03 18:00:00,Academic Block A,19.179,2024-03-03,18,6,1,9,0
2024-03-03 19:00:00,Academic Block A,16.089,2024-03-03,19,6,1,9,0
2024-03-03 20:00:00,Academic Block A,12.107,2024-03-03,20,6,1,9,0
2024-03-03 21:00:00,Academic Block A,14.098,2024-03-03,21,6,1,9,0
2024-03-03 22:00:00,Academic Block A,3.79,2024-03-03,22,6,1,9,0
2024-03-03 23:00:00,Academic Block A,1.779,2024-03-03,23,6,1,9,0
2024-03-04 00:00:00,Academic Block A,0.932,2024-03-04,0,0,0,10,0
2024-03-04 01:00:00,Academic Block A,0.5,2024-03-04,1,0,0,10,0
2024-03-04 02:00:00,Academic Block A,0.5,2024-03-04,2,0,0,10,0
2024-03-04 03:00:00,Academic Block A,0.5,2024-03-04,3,0,0,10,0
2024-03-04 04:00:00,Academic Block A,0.807,2024-03-04,4,0,0,10,0
2024-03-04 05:00:00,Academic Block A,2.263,2024-03-04,5,0,0,10,0
2024-03-04 06:00:00,Academic Block A,5.371,2024-03-04,6,0,0,10,0
2024-03-04 07:00:00,Academic Block A,17.165,2024-03-04,7,0,0,10,0
2024-03-04 08:00:00,Academic Block A,31.767,2024-03-04,8,0,0,10,0
2024-03-04 09:00:00,Academic Block A,44.08,2024-03-04,9,0,0,10,0
2024-03-04 10:00:00,Academic Block A,45.136,2024-03-04,10,0,0,10,0
2024-03-04 11:00:00,Academic Block A,34.776,2024-03-04,11,0,0,10,0
2024-03-04 12:00:00,Academic Block A,35.862,2024-03-04,12,0,0,10,0
