student_id,date,class_id,attendance_status
STU1035,2024-03-01,CS108,Present
STU0055,2024-03-01,CS108,Absent
STU1150,2024-03-01,CS108,Present
STU0408,2024-03-01,CS108,Present
STU1117,2024-03-01,CS108,Present
STU0860,2024-03-01,CS108,Present
STU0452,2024-03-01,CS108,Present
STU0920,2024-03-01,CS108,Absent
STU0570,2024-03-01,CS108,Present
STU0014,2024-03-01,CS108,Present
STU0327,2024-03-01,CS108,Present
STU0866,2024-03-01,CS108,Absent
STU0697,2024-03-01,CS108,Absent
STU0319,2024-03-01,CS108,
STU0441,2024-03-01,CS108,Present
STU0690,2024-03-01,CS108,Present
STU0210,2024-03-01,CS108,Present
STU0190,2024-03-01,CS108,Present
STU0779,2024-03-01,CS108,Present
STU0199,2024-03-01,CS108,Present
STU0736,2024-03-01,CS108,Present
STU0705,2024-03-01,CS108,Present
STU0542,2024-03-01,CS108,Present
STU0089,2024-03-01,CS108,Present
STU0941,2024-03-01,CS108,Present
STU1099,2024-03-01,CS108,Present
STU0256,2024-03-01,CS108,Present
STU0776,2024-03-01,CS108,Present
STU0162,2024-03-01,CS108,Present
STU1131,2024-03-01,CS108,Present
STU0601,2024-03-01,CS108,Present
STU0741,2024-03-01,CS108,Present
STU0394,2024-03-01,CS102,Present
STU0143,2024-03-01,CS102,Absent
STU0094,2024-03-01,CS102,Absent
STU0467,2024-03-01,CS102,Present
STU0593,2024-03-01,CS102,Present
STU0164,2024-03-01,CS102,Present
STU0477,2024-03-01,CS102,Present
STU0207,2024-03-01,CS102,Present
STU0779,2024-03-01,CS102,Present
STU0570,2024-03-01,CS102,Present
STU0929,2024-03-01,CS102,Present
STU0748,2024-03-01,CS102,Absent
STU0334,2024-03-01,CS102,Present
STU0759,2024-03-01,CS102,Present
STU0728,2024-03-01,CS102,Present
STU0430,2024-03-01,CS102,Present
STU0547,2024-03-01,CS102,Present
STU0147,2024-03-01,CS102,Present
STU0351,2024-03-01,CS102,Absent
STU1094,2024-03-01,CS102,Present
STU0502,2024-03-01,CS102,Absent
STU0335,2024-03-01,CS102,Absent
STU0947,2024-03-01,CS102,Present
STU0778,2024-03-01,CS102,Absent
STU0553,2024-03-01,CS102,Present
STU1141,2024-03-01,CS102,Present
STU0450,2024-03-01,CS102,Present
STU0665,2024-03-01,CS102,Present
STU0115,2024-03-01,CS102,
STU0470,2024-03-01,CS102,Present
STU0066,2024-03-01,CS102,Absent
STU0647,2024-03-01,CS102,Present
STU0822,2024-03-01,CS102,Present
STU0549,2024-03-01,CS102,Present
STU0136,2024-03-01,CS102,Present
STU0433,2024-03-01,CS102,Present
STU1162,2024-03-01,CS102,Present
STU0645,2024-03-01,CS102,Absent
STU0436,2024-03-01,CS102,Present
STU1023,2024-03-01,CS102,Present
STU0811,2024-03-01,CS102,Present
STU0940,2024-03-01,CS102,Present
STU0293,2024-03-01,CS102,Present
STU0286,2024-03-01,ME203,Present
STU0506,2024-03-01,ME203,Present
STU1150,2024-03-01,ME203,Present
STU1104,2024-03-01,ME203,Present
STU0539,2024-03-01,ME203,Present
STU1198,2024-03-01,ME203,Absent
STU0878,2024-03-01,ME203,Present
STU1196,2024-03-01,ME203,Present
STU0818,2024-03-01,ME203,Present
STU0742,2024-03-01,ME203,Present
STU0450,2024-03-01,ME203,Present
STU0284,2024-03-01,ME203,Present
STU1044,2024-03-01,ME203,Present
STU1011,2024-03-01,ME203,Absent
STU0187,2024-03-01,ME203,Present
STU0097,2024-03-01,ME203,Present
STU0225,2024-03-01,ME203,Present
STU0314,2024-03-01,ME203,Present
STU0328,2024-03-01,ME203,Present
STU0865,2024-03-01,ME203,Present
STU0131,2024-03-01,ME203,Present
STU0789,2024-03-01,ME203,Present
STU0782,2024-03-01,ME203,Present
STU0959,2024-03-01,ME203,Present
STU1084,2024-03-01,ME203,Present
STU0515,2024-03-01,ME203,Present
STU1134,2024-03-01,ME203,Present
STU0024,2024-03-01,ME203,Present
STU0235,2024-03-01,ME203,Present
STU1100,2024-03-01,ME203,Absent
STU0547,2024-03-01,ME203,Present
STU0697,2024-03-01,ME203,Present
STU0229,2024-03-01,ME203,Present
STU0891,2024-03-01,ME201,Present
STU0324,2024-03-01,ME201,
STU0930,2024-03-01,ME201,Present
STU0007,2024-03-01,ME201,Present
STU0540,2024-03-01,ME201,Absent
STU1026,2024-03-01,ME201,Present
STU0366,2024-03-01,ME201,Present
STU1040,2024-03-01,ME201,Absent
STU0218,2024-03-01,ME201,Present
STU0612,2024-03-01,ME201,Present
STU0408,2024-03-01,ME201,Absent
STU0314,2024-03-01,ME201,Present
STU0766,2024-03-01,ME201,Present
STU0331,2024-03-01,ME201,Absent
STU1105,2024-03-01,ME201,Present
STU1087,2024-03-01,ME201,Present
STU0002,2024-03-01,ME201,Present
STU0664,2024-03-01,ME201,Present
STU1001,2024-03-01,ME201,Present
STU0040,2024-03-01,ME201,Absent
STU0230,2024-03-01,ME201,Present
STU0744,2024-03-01,ME201,Present
STU0630,2024-03-01,ME201,Present
STU0491,2024-03-01,ME201,Present
STU0119,2024-03-01,ME201,Present
STU0494,2024-03-01,ME201,Present
STU1162,2024-03-01,ME201,Absent
