timestamp,location,number_of_users,bandwidth_usage
2024-03-01 00:49:00,Academic Zone,7.0,13.42
2024-03-01 00:49:00,Library,5.0,8.18
2024-03-01 00:16:00,Cafeteria,3.0,4.73
2024-03-01 00:01:00,Sports Complex,1.0,1.53
2024-03-01 00:25:00,Hostel Area,3.0,3.48
2024-03-01 00:59:00,Admin Zone,2.0,3.8
2024-03-01 01:33:00,Academic Zone,,
2024-03-01 01:43:00,Library,2.0,3.05
2024-03-01 01:34:00,Cafeteria,2.0,2.79
2024-03-01 01:16:00,Sports Complex,0.0,0.0
2024-03-01 01:04:00,Hostel Area,2.0,3.42
2024-03-01 01:12:00,Admin Zone,0.0,0.0
2024-03-01 02:12:00,Academic Zone,3.0,4.24
2024-03-01 02:12:00,Library,3.0,4.47
2024-03-01 02:29:00,Cafeteria,2.0,3.67
2024-03-01 02:14:00,Sports Complex,0.0,0.0
2024-03-01 02:05:00,Hostel Area,2.0,4.48
2024-03-01 02:59:00,Admin Zone,0.0,0.0
2024-03-01 03:08:00,Academic Zone,2.0,1.78
2024-03-01 03:59:00,Library,3.0,5.03
2024-03-01 03:20:00,Cafeteria,1.0,1.41
2024-03-01 03:22:00,Sports Complex,0.0,0.0
2024-03-01 03:45:00,Hostel Area,1.0,1.92
2024-03-01 03:59:00,Admin Zone,0.0,0.0
2024-03-01 04:10:00,Academic Zone,7.0,9.31
2024-03-01 04:12:00,Library,6.0,4.5
2024-03-01 04:22:00,Cafeteria,4.0,4.83
2024-03-01 04:58:00,Sports Complex,1.0,1.45
2024-03-01 04:25:00,Hostel Area,3.0,5.7
2024-03-01 04:06:00,Admin Zone,2.0,4.58
2024-03-01 05:29:00,Academic Zone,23.0,30.58
2024-03-01 05:34:00,Library,15.0,23.17
2024-03-01 05:59:00,Cafeteria,13.0,23.21
2024-03-01 05:05:00,Sports Complex,7.0,9.86
2024-03-01 05:29:00,Hostel Area,11.0,18.6
2024-03-01 05:00:00,Admin Zone,8.0,11.67
2024-03-01 06:13:00,Academic Zone,53.0,63.07
2024-03-01 06:54:00,Library,32.0,43.71
2024-03-01 06:57:00,Cafeteria,29.0,43.33
2024-03-01 06:58:00,Sports Complex,19.0,25.83
2024-03-01 06:10:00,Hostel Area,54.0,62.55
2024-03-01 06:43:00,Admin Zone,25.0,28.35
