student_id,date,class_id,attendance_status,day_of_week,is_weekend,month,week,is_present,day_name,week_type
STU1035,2024-03-01,CS108,Present,4,0,3,9,1,Friday,Weekday
STU0055,2024-03-01,CS108,Absent,4,0,3,9,0,Friday,Weekday
STU1150,2024-03-01,CS108,Present,4,0,3,9,1,Friday,Weekday
STU0408,2024-03-01,CS108,Present,4,0,3,9,1,Friday,Weekday
STU1117,2024-03-01,CS108,Present,4,0,3,9,1,Friday,Weekday
STU0860,2024-03-01,CS108,Present,4,0,3,9,1,Friday,Weekday
STU0452,2024-03-01,CS108,Present,4,0,3,9,1,Friday,Weekday
STU0920,2024-03-01,CS108,Absent,4,0,3,9,0,Friday,Weekday
STU0570,2024-03-01,CS108,Present,4,0,3,9,1,Friday,Weekday
STU0014,2024-03-01,CS108,Present,4,0,3,9,1,Friday,Weekday
STU0327,2024-03-01,CS108,Present,4,0,3,9,1,Friday,Weekday
STU0866,2024-03-01,CS108,Absent,4,0,3,9,0,Friday,Weekday
STU0697,2024-03-01,CS108,Absent,4,0,3,9,0,Friday,Weekday
STU0319,2024-03-01,CS108,Absent,4,0,3,9,0,Friday,Weekday
STU0441,2024-03-01,CS108,Present,4,0,3,9,1,Friday,Weekday
STU0690,2024-03-01,CS108,Present,4,0,3,9,1,Friday,Weekday
STU0210,2024-03-01,CS108,Present,4,0,3,9,1,Friday,Weekday
STU0190,2024-03-01,CS108,Present,4,0,3,9,1,Friday,Weekday
STU0779,2024-03-01,CS108,Present,4,0,3,9,1,Friday,Weekday
STU0199,2024-03-01,CS108,Present,4,0,3,9,1,Friday,Weekday
STU0736,2024-03-01,CS108,Present,4,0,3,9,1,Friday,Weekday
STU0705,2024-03-01,CS108,Present,4,0,3,9,1,Friday,Weekday
STU0542,2024-03-01,CS108,Present,4,0,3,9,1,Friday,Weekday
STU0089,2024-03-01,CS108,Present,4,0,3,9,1,Friday,Weekday
STU0941,2024-03-01,CS108,Present,4,0,3,9,1,Friday,Weekday
STU1099,2024-03-01,CS108,Present,4,0,3,9,1,Friday,Weekday
STU0256,2024-03-01,CS108,Present,4,0,3,9,1,Friday,Weekday
STU0776,2024-03-01,CS108,Present,4,0,3,9,1,Friday,Weekday
STU0162,2024-03-01,CS108,Present,4,0,3,9,1,Friday,Weekday
STU1131,2024-03-01,CS108,Present,4,0,3,9,1,Friday,Weekday
STU0601,2024-03-01,CS108,Present,4,0,3,9,1,Friday,Weekday
STU0741,2024-03-01,CS108,Present,4,0,3,9,1,Friday,Weekday
STU0394,2024-03-01,CS102,Present,4,0,3,9,1,Friday,Weekday
STU0143,2024-03-01,CS102,Absent,4,0,3,9,0,Friday,Weekday
STU0094,2024-03-01,CS102,Absent,4,0,3,9,0,Friday,Weekday
STU0467,2024-03-01,CS102,Present,4,0,3,9,1,Friday,Weekday
STU0593,2024-03-01,CS102,Present,4,0,3,9,1,Friday,Weekday
STU0164,2024-03-01,CS102,Present,4,0,3,9,1,Friday,Weekday
STU0477,2024-03-01,CS102,Present,4,0,3,9,1,Friday,Weekday
STU0207,2024-03-01,CS102,Present,4,0,3,9,1,Friday,Weekday
STU0779,2024-03-01,CS102,Present,4,0,3,9,1,Friday,Weekday
STU0570,2024-03-01,CS102,Present,4,0,3,9,1,Friday,Weekday
STU0929,2024-03-01,CS102,Present,4,0,3,9,1,Friday,Weekday
STU0748,2024-03-01,CS102,Absent,4,0,3,9,0,Friday,Weekday
STU0334,2024-03-01,CS102,Present,4,0,3,9,1,Friday,Weekday
STU0759,2024-03-01,CS102,Present,4,0,3,9,1,Friday,Weekday
STU0728,2024-03-01,CS102,Present,4,0,3,9,1,Friday,Weekday
